City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ubinskoye,55.3068,79.6802,6.75,59,78,0.6,RU,1663081517
1,Butaritari,3.0707,172.7902,26.97,77,98,2.42,KI,1663081518
2,Mataura,-46.1927,168.8643,0.17,99,88,1.5,NZ,1663081518
3,Piquete,-22.6136,-45.1761,29.05,39,77,1.38,BR,1663081518
4,Khandwa,21.8333,76.3333,24.52,93,100,4.56,IN,1663081518
5,Punta Arenas,-53.15,-70.9167,7.01,70,75,7.72,CL,1663081519
6,Bluff,-46.6,168.3333,5.87,73,92,4.7,NZ,1663081520
7,Pala,9.3642,14.9046,23.35,83,96,1.97,TD,1663081521
8,Saint Anthony,45.0205,-93.218,20.46,64,0,2.57,US,1663081521
9,Shar,49.5886,81.0453,10.27,41,42,3.74,KZ,1663081521
10,Nouadhibou,20.931,-17.0347,23.79,82,98,8.15,MR,1663081521
11,Port Elizabeth,-33.918,25.5701,18.94,77,2,4.02,ZA,1663081522
12,Ushuaia,-54.8,-68.3,8.81,49,75,4.12,AR,1663081522
13,Ballina,-28.8667,153.5667,13.9,88,57,3.41,AU,1663081522
14,Upernavik,72.7868,-56.1549,5.1,94,100,1.41,GL,1663081523
15,Saint Paul Harbor,57.79,-152.4072,8.86,85,98,1.44,US,1663081361
16,Arraial do Cabo,-22.9661,-42.0278,23.92,78,40,5.14,BR,1663081523
17,Albany,42.6001,-73.9662,22.81,94,100,0.89,US,1663081524
18,Sisimiut,66.9395,-53.6735,8.58,76,100,6.19,GL,1663081524
19,Aykhal,66,111.5,0.02,80,97,3.91,RU,1663081524
20,Gunzenhausen,49.1,10.75,23.81,51,98,2.47,DE,1663081524
21,Listvyanskiy,54.4399,83.4984,5.09,55,63,1.19,RU,1663081525
22,Laguna,38.421,-121.4238,19.15,75,0,7.2,US,1663081526
23,Dhāriwāl,31.9542,75.3192,27.11,73,1,2.65,IN,1663081526
24,Vaini,-21.2,-175.2,22.09,94,20,2.06,TO,1663081527
25,Katherine,-14.4667,132.2667,28.18,36,3,3.6,AU,1663081527
